Old_name	New_name	Library_name	Population	Position_in_cluster	Genetic_sex_wgs	Read_count	Coverage	Bioproject	REF_Panel	Unrelated	In_lowcov	Comments	lon	lat
898092F12	898092	P2_898092F12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898092F12/P2_898092F12.bam	2	155061334	11.5889	NA	1	0	0		6.86444763120679	46.8484702959729
898172G9	898172	P2_898172G9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_898172G9/898172G9.bam	1	158212733	16.5473	NA	1	0	0		6.83139583343201	46.7948115020133
898350F9	898350	P2_898350F9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_898350F9/898350F9.bam	2	153361547	15.8483	NA	1	1	0		6.52596765936229	46.6266763691812
898630D4	898630	P2_898630D4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_898630D4/898630D4.bam	2	130239202	13.8451	NA	1	0	0		7.03291285104386	46.8904628863395
898887G3	898887	P3_898887G3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_898887G3/898887G3.bam	2	139756048	14.8782	NA	1	1	0		7.03291285104386	46.8904628863395
899009F1	899009	P3_899009F1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_899009F1/P3_899009F1.bam	1	115320683	8.3327	NA	1	0	0		6.9572744865986	46.8339569917039
CH01	898335	TSP01	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP01/TSP01.bam	2	321629073	23.2688	PRJNA700797	1	0	0		6.86457845	46.84849794
CH02	898199	TSP02	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP02/TSP02.bam	1	246319998	17.4544	PRJNA925445	1	0	0		6.957353773	46.83388536
CH03	898379	TSP03	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP03/TSP03.bam	1	255608836	18.5194	PRJNA925445	1	1	0		7.022607532	46.92334904
CH04	898194	TSP04	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP04/TSP04.bam	1	227996339	16.5402	PRJNA925445	1	0	0		6.824711131	46.67907255
CH05	M022121	TSP05	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP05/TSP05.bam	1	244306331	17.2605	PRJNA925445	1	1	0		7.021186869	46.8306819
