RingID,Sample_name,Population,Sex,Read_count,Coverage,Bioproject,dataset,Longitude,Latitude
M026603,P2_M026603G3,CH,2,148290190,11.1156,666,LM3,6.87059406995173,46.8561921996257
M026604,P2_M026604H3,CH,2,130741575,10.2055,666,LM3,6.87059406995173,46.8561921996257
M026605,P2_M026605A4,CH,1,146656837,10.9029,666,LM3,6.87059406995173,46.8561921996257
M026606,P2_M026606B4,CH,2,220172581,14.6619,666,LM3,6.87059406995173,46.8561921996257
M026607,P2_M026607C4,CH,1,154897781,11.5213,666,LM3,6.87059406995173,46.8561921996257
M026611,P2_M026611B2,CH,1,137125741,10.2495,666,LM3,6.91753187155268,46.8637469660947
M026612,P2_M026612C2,CH,1,146040680,10.8342,666,LM3,6.86444763120679,46.8484702959729
M026629,M026629C11,CH,1,130382397,10.8478,666,LM3,7.02127777800684,46.8307901806985
M026825,P2_M026825A9,CH,1,129257430,10.4116,666,LM3,7.02127777800684,46.8307901806985
M026832,M026832H9,CH,1,112309930,9.5673,666,LM3,7.02127777800684,46.8307901806985
M026960,M026960D12,CH,1,139975242,10.884,666,LM3,6.5821086125073,46.6692589361246
M026961,M026961E12,CH,2,143190368,11.2476,666,LM3,7.03291285104386,46.8904628863395
M026962,M026962F12,CH,1,133593555,10.7923,666,LM3,7.03291285104386,46.8904628863395
M026963,M026963G12,CH,2,139401440,10.9456,666,LM3,6.54966670851362,46.621996867297
M026964,M026964H12,CH,2,129739924,10.1021,666,LM3,6.54966670851362,46.621996867297
M026985,M026985H,CH,2,342622038,27.9023,666,,6.54966670851362,46.621996867297
M026986,M026986H4,CH,2,107016876,10.159,666,LM3,6.54966670851362,46.621996867297
M027889,M027889H,CH,2,347348887,28.5985,666,CH;CH13_2,6.54966670851362,46.621996867297
M027954,P2_M027954C7,CH,1,179526177,13.3468,666,LM3,6.56280029800517,46.6067872103487
M027970,M027970G3,CH,2,110142137,10.2604,666,LM3,6.91753187155268,46.8637469660947
M028838,M028838H,CH,2,359220174,29.6221,666,CH,7.01302121099929,46.9268939847725
M031523,P3_M031523B5,CH,1,134820355,9.2724,666,LM3,7.01302121099929,46.9268939847725
M031524,M031524A6,CH,1,108751693,11.6455,666,LM3;CH;CH13,6.58579860016168,46.5968383346229
M031532,M031532,CH,1,116168781,12.7153,666,,7.02127777800684,46.8307901806985
M031534,M031534C5,CH,2,110966034,10.2442,666,LM3,6.90837346201792,46.8708203544548
M031535,M031535F5,CH,2,118977963,10.9162,666,LM3;CH,6.86444763120679,46.8484702959729
M031536,M031536D5,CH,2,106700339,9.7069,666,LM3,6.96090251180602,46.8579182661176
M031537,M031537E5,CH,2,110143315,10.1683,666,LM3,6.94065825500337,46.8788454384307
M031538,P3_M031538D2,CH,2,233414876,15.9045,666,LM3;CH;CH13_2,6.57358953399884,46.7336332935678
M031555,P2_M031555E5,CH,2,176282063,12.396,666,LM3;CH,6.94065825500337,46.8788454384307
M031559,M031559A3,CH,1,108976302,10.143,666,LM3,7.03273487369728,46.8810080726158
M031560,M031560B3,CH,1,111836128,10.5296,666,LM3,6.91753187155268,46.8637469660947
M031562,M031562C3,CH,2,108875902,9.9392,666,LM3,6.91753187155268,46.8637469660947
M031563,M031563D3,CH,1,108324865,10.1425,666,LM3,6.91753187155268,46.8637469660947
M031581,M031581G5,CH,1,107054431,11.5005,666,LM3,6.91753187155268,46.8637469660947
M031598,P3_M031598C6,CH,1,138896366,8.9398,666,LM3,6.99154245576741,46.9044855949206
M031610,P3_M031610H4,CH,2,159718481,10.3136,666,LM3,6.57834123259671,46.7630321445809
M031650,P2_M031650G5,CH,2,164951901,11.6732,666,LM3,6.90898786818808,46.8537047006285
M031653,P2_M031653E6,CH,1,152012354,11.3365,666,LM3,6.57358953399884,46.7336332935678
M031654,P3_M031654E5,CH,2,153052985,10.5035,666,LM3,6.85359248545655,46.7059867597145
M031661,M031661B7,CH,1,102462372,8.2905,666,LM3,6.85359248545655,46.7059867597145
M031673,M031673E1,CH,1,107680369,10.1289,666,LM3,6.5607633577128,46.5272185902132
M031674,M031674F1,CH,2,108299786,10.0649,666,LM3,6.6523047739788,46.6230215186127
M031675,M031675G1,CH,1,110844749,10.1833,666,LM3,6.6523047739788,46.6230215186127
M031676,M031676H1,CH,2,105446093,9.8083,666,LM3,6.6523047739788,46.6230215186127
M031677,M031677A2,CH,1,112911569,10.4058,666,LM3,6.6523047739788,46.6230215186127
M031706,M031706C4,CH,2,107754851,10.1752,666,LM3,6.6523047739788,46.6230215186127
